od_pair,count
EIDW-EDDM,739
EGBB-EGAC,739
ENGM-EDDM,738
EGCC-LPPT,737
EGCC-EDDF,737
EKYT-EHAM,736
LFMN-EGLL,736
EDDP-EBBR,736
LSZH-LTFM,735
EGGD-EGAA,735
LIPZ-EDDM,735
EPWA-LTFM,734
ESSB-ESTA,734
LHBP-EGLL,734
EGNS-EGGP,733
LIRF-LIMJ,733
EIDW-LIRF,733
LFSB-EDDF,732
LOWW-LGAV,732
LIRF-LIMF,731
LLBG-LGRP,728
LIRF-LTFM,728
EDDM-ENGM,727
LIPE-LEMD,727
EDDV-EHAM,726
EGLC-EDDF,726
LIRF-EIDW,725
LPFR-EGGW,725
LCLK-LGAV,725
LFML-LEMD,725
LEMG-EGCC,724
ESTA-ESSB,724
EDDK-EGSS,724
EGPF-EGKK,723
EDDL-LEMD,723
EKCH-ESGG,722
EGNX-LEPA,722
EGKK-LPPR,722
EGLL-LHBP,722
EDDF-LOWS,721
EGGP-EGNS,720
EGGW-EIDW,720
LFMN-LSGG,720
LBSF-LOWW,719
EDDV-LFPG,719
LEMG-ESSA,718
LIPZ-LIRF,718
EGGD-LEMG,718
LTFM-EDDL,717
EGSS-LPPT,717
LFRS-LFLL,717
EDDN-EHAM,717
LPPT-EGSS,717
EGLL-LIPZ,717
EDDS-LTFM,716
LFML-LFBD,716
EBBR-EDDB,716
EDDF-EGBB,714
LPPT-EGCC,714
EGAA-EGGD,713
EHAM-EDDN,713
EDSB-LEPA,712
LEBL-LTFM,712
LEBL-EGKR,712
LOWS-EDDF,712
EHAM-EDDV,711
LEMD-EDDL,711
LSZH-LKPR,710
EFHK-EYVI,710
EHAM-LFLL,710
LTFM-EDDM,710
EFHK-EFKU,709
EDDB-LEMD,707
LROP-EGSS,706
EGPF-EGLC,706
EGGW-EGPH,706
LTFJ-LFPG,705
EICK-EGLL,704
LEPA-EGNX,704
EGLC-ELLX,704
EDDP-LIMC,704
EGAC-EGBB,704
LTFM-LIRF,703
EGGW-LPFR,703
EHAM-LLBG,703
EGLL-LLBG,702
LIRF-LIPZ,702
EDDM-EIDW,701
LKPR-LSZH,700
LIMC-ELLX,700
EGBB-EDDF,699
ESGG-EKCH,699
LCLK-EGLL,699
LFRB-LFPG,699
LGAV-LIMC,697
EHAM-ELLX,696
LEPA-EDSB,696
EDDK-LTFM,696
ELLX-LIMC,696
EDDH-LTFM,696
ESSA-ESNS,695
LTFM-LSZH,695
LEZL-LEMD,694
LGRP-LLBG,694
ELLX-EHAM,694
LLBG-EDDF,693
EDDF-EKBI,693
LOWW-LKPR,692
LLBG-LEBL,692
LTFM-LOWW,691
LTFM-EDDK,691
LIMC-EGSS,691
EPRZ-EPWA,690
LFPG-LTFJ,690
EDDB-EGSS,690
LEMD-LIPE,689
LTFM-LEBL,689
LEMG-EKCH,688
EGKK-LGAV,687
LIBD-LIMC,686
LKPR-LEBL,686
LTFM-EDDS,686
EYVI-EFHK,686
EGNX-LEAL,685
EGNX-EGAA,684
EGSS-LROP,683
LSZH-LEMG,683
LGAV-LSZH,683
EDDS-LEBL,683
EDDF-LYBE,683
EGKT-EGLL,682
EHRD-EGLC,679
LEBL-EDDS,678
EGKK-LEZL,678
EKBI-EDDF,678
EDDF-EDNY,678
EPWA-EPKT,677
EDDM-EDDG,677
LEBL-LKPR,677
LEPA-EDDV,676
EGAA-EGNX,675
EFKU-EFHK,675
EDNY-EDDF,675
EBBR-LIML,675
EDDM-LTFM,675
LEMD-EDDB,672
LEAL-EGNX,672
LFPG-LEMG,672
EETN-EPWA,671
EGLW-EHAM,670
EPWA-EETN,669
LFPO-LPFR,669
EDDF-LOWG,669
LTFM-LEMD,668
LYBE-EDDF,668
LEMD-LFML,668
EGNM-LEAL,668
LIMC-LIBD,668
LGAV-LGMK,667
EGKK-LTFM,667
LFMN-EHAM,667
LFML-LFRS,666
LEBL-LFMN,666
EKCH-LIRF,666
EDLW-EPKT,665
LOWG-EDDF,664
EPKT-EDLW,664
EGPH-EGGD,664
LIRA-EGSS,663
EHAM-LIPE,663
EGKK-LFBD,663
LFML-EGLL,663
EDDM-LIPZ,662
LIRF-EKCH,662
EGSS-EDDB,662
LIME-LROP,661
LROP-LIME,661
EGLL-LFML,661
EDDV-LEPA,659
LKPR-LIRF,659
EDDB-LTFJ,659
EFHK-EVRA,658
LTFM-EDDH,657
LOWW-LHBP,656
LTFM-EPWA,656
LFPO-LIPZ,655
EIDW-EGKR,655
EGLL-EICK,653
EDDF-EPWR,653
LLBG-EGGW,652
LIPZ-LFPO,652
EPKT-EPWA,652
EDDF-LLBG,651
LEAL-EGNM,651
EDDF-EDDG,650
LPPT-EGKK,650
EDDG-EDDF,650
LSZH-LHBP,649
EIDW-LEAL,649
LOWW-LTFJ,647
LTFJ-EDDB,647
LHBP-EGGW,647
EIDW-EGNT,647
LIRF-LKPR,647
LLBG-LCPH,646
LGAV-EHAM,646
EGKK-LGRP,646
LKPR-EKCH,646
LPFR-LFPO,646
LEBL-ESSA,645
LSZH-LFMN,644
EGNT-EIDW,644
EDDS-LTFJ,643
EGCC-LTFM,643
LPPT-LFLL,643
LEPA-LEMG,642
LHBP-LSZH,642
ESSA-LEBL,642
EGSS-LIMC,641
LTFJ-EDDS,640
LHBP-LOWW,640
LKPR-LOWW,640
LEAL-EGGW,640
LEIB-EGCC,640
EGGD-EGPF,639
EPWA-EPPO,638
LIPE-EHAM,638
LFPG-EBBR,638
LEMD-LFBO,638
LSZH-ENGM,637
EHAM-EDDW,637
LTFJ-LOWW,637
LEAL-EIDW,636
LIRF-LFMN,636
EPPO-EPWA,635
EGKK-ENGM,635
LEZL-LPPT,634
